Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
RoverChassis,0.0093614,-9.9176E-05,0.050783,0,0,0,2.5513,0.0059302,-2.3769E-06,8.4014E-05,0.013,-1.4168E-05,0.017599,0,0,0,0,0,0,package://new_spirit_mars/meshes/RoverChassis.STL,0.094118,0,0.20784,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/RoverChassis.STL,,Body Box _1_-1/Bottom Plate-1;Tail-1;Differential-1/Body-Differential-1;Differential-1/238-1;Differential-1/Body-Differential-Mirror-1;Differential-1/DiffLower-1;Differential-1/DiffUpper-1;Rocker+Bogie _1_-1/Body-Suspension-1;MirrorRocker+Bogie _1_-3/MirrorBody-Suspension-1;RoboticArmRover-1/Waist_r1 - v2-1;Mast_Assembly-1/Mount-1;Differential-1/DiffBrace-2;Differential-1/DiffBrace-1;Differential-1/DiffRod-1;Differential-1/DiffLink-1;Turnbuckle Eyes-2;Turnbuckle screw-1;Turnbuckle Eyes-1;Differential-1/DiffLink-2;Turnbuckle Eyes-3;Turnbuckle screw-2;Turnbuckle Eyes-4;Differential-1/Rod Support 1-1;Differential-1/Rod Support 2-1;Body Box _1_-1/385-1;Body Box _1_-1/385-3;Body Box _1_-1/245-4;Body Box _1_-1/245-2;Body Box _1_-1/385-2;Body Box _1_-1/385-4;Body Box _1_-1/Beam mount L-1;Body Box _1_-1/Beam mount R-1;Body Box _1_-1/Asus Bracket-1;Body Box _1_-1/245-3;Body Box _1_-1/245-1;Body Box _1_-1/Body Corner-1;Body Box _1_-1/Body Corner-3;Body Box _1_-1/Body Corner-4;Body Box _1_-1/Body Corner-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MastArm,-0.00021473,0.051397,-0.00073642,0,0,0,0.040089,8.1919E-05,1.6871E-09,5.5106E-10,5.8703E-06,-5.4206E-07,8.6546E-05,0,0,0,0,0,0,package://new_spirit_mars/meshes/MastArm.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/MastArm.STL,,Mast_Assembly-1/Arm-1,Origin_RoverChassis_Mast,Axis1,RoverChassis_Mast,revolute,0.13149,-0.053006,0.14751,1.5708,-0.0056094,2.3562,RoverChassis,0,0,-1,0,0,0,0,,,,,,,,
MastHead,-0.0013429,0.00089648,-0.022625,0,0,0,0.037642,5.6108E-05,-1.2333E-09,7.2038E-08,1.6403E-05,8.3386E-08,4.6655E-05,0,0,0,0,0,0,package://new_spirit_mars/meshes/MastHead.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/MastHead.STL,,Mast_Assembly-1/Mast_Head-1,Origin_MastArm_MastHead,Axis2,MastArm_MastHead,revolute,0.00029854,0.15045,0.004,1.5708,0.79479,0,MastArm,0,0,1,0,0,0,0,,,,,,,,
Arm,-0.00013011,0.057834,0.0017688,0,0,0,0.065681,0.00010918,-1.6866E-09,2.4327E-10,9.2922E-06,2.444E-07,0.00011408,0,0,0,0,0,0,package://new_spirit_mars/meshes/Arm.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/Arm.STL,,RoboticArmRover-1/Arm 01_r1-1,Origin_Chassis_Arm,Axis3,Chassis_Arm,revolute,0.253051748698285,0.0704529943574704,0.0609913956856037,1.5707963267949,-0.130632744206875,-3.14159265358979,RoverChassis,0,0,1,0,0,0,0,,,,,,,,
Arm2,0.0014503,0.03926,0.016609,0,0,0,0.051274,5.5647E-05,-1.4498E-06,-8.8093E-09,9.5179E-06,-2.9315E-07,5.9312E-05,0,0,0,0,0,0,package://new_spirit_mars/meshes/Arm2.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/Arm2.STL,,RoboticArmRover-1/Arm 02 v3_r1-1,Origin_Arm_Arm2,Axis5,Arm_Arm2,revolute,0,0.11924,0,-3.1416,0,1.5708,Arm,0,0,-1,0,0,0,0,,,,,,,,
Arm3,0.0050459,-0.0052647,-0.017841,0,0,0,0.016829,3.9904E-06,-4.0705E-09,-1.1789E-08,5.1228E-06,-5.8731E-07,2.6647E-06,0,0,0,0,0,0,package://new_spirit_mars/meshes/Arm3.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/Arm3.STL,,RoboticArmRover-1/Arm 03_r1-1,Origin_Arm2_Arm3,Axis4,Arm2_Arm3,revolute,-0.00231376659955707,0.0917099175886816,0.0167,1.5707963267949,0.0495995429747262,-0.0298514149555396,Arm2,0,0,1,0,0,0,0,,,,,,,,
EFE,0.035646,-0.03828,0.00179,0,0,0,0.035617,7.9239E-06,5.0355E-06,-9.5166E-07,8.5973E-06,1.1051E-06,1.1584E-05,0,0,0,0,0,0,package://new_spirit_mars/meshes/EFE.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/EFE.STL,,RoboticArmRover-1/Gripper Assembly-1/Gripper base-1;RoboticArmRover-1/Gripper Assembly-1/gear1-1;RoboticArmRover-1/Gripper Assembly-1/Gripper 1-2;RoboticArmRover-1/Gripper Assembly-1/grip link 1-4;RoboticArmRover-1/Gripper Assembly-1/grip link 1-1;RoboticArmRover-1/Gripper Assembly-1/grip link 1-2;RoboticArmRover-1/Gripper Assembly-1/Gripper 1-1;RoboticArmRover-1/Gripper Assembly-1/grip link 1-3;RoboticArmRover-1/Gripper Assembly-1/gear2-1,Origin_Arm3_EFE,Axis6,Arm3_EFE,revolute,0.005,-0.014,-0.0279999999985077,-1.5707963267949,0,0,Arm3,0,0,-1,0,0,0,0,,,,,,,,
Rocker1,-0.050037,-0.023664,0.036781,0,0,0,0.29452,0.00010836,-1.9106E-06,4.7399E-05,0.00035209,2.0093E-05,0.00038621,0,0,0,0,0,0,package://new_spirit_mars/meshes/Rocker1.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/Rocker1.STL,,Rocker+Bogie _1_-1/Rocker-1;Rocker+Bogie _1_-1/182.394-1;Rocker+Bogie _1_-1/161.324-1;Rocker+Bogie _1_-1/Bogie _1_-1/Bogie-Body-1;Rocker+Bogie _1_-1/Front Steering _1_-1/Front Corner-2;Rocker+Bogie _1_-1/Front Steering _1_-1/Bracket-1;Rocker+Bogie _1_-1/Front Steering _1_-1/Coupler-1,Origin_Chassis_Rocker1,Axis7,Chassis_Rocker1,continuous,0.073,0.1572,0.0527,1.5708,-0.073241,-3.1416,RoverChassis,0,0,-1,0,0,0,0,,,,,,,,
Bogie1,0.017556,0.0078829,0.040966,0,0,0,0.28915,0.0002275,2.9536E-05,-2.5079E-05,0.00014962,-1.5329E-05,0.00020374,0,0,0,0,0,0,package://new_spirit_mars/meshes/Bogie1.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/Bogie1.STL,,Rocker+Bogie _1_-1/Bogie _1_-1/Bogie-Wheels-1;Rocker+Bogie _1_-1/Bogie _1_-1/117.32-1;Rocker+Bogie _1_-1/Bogie _1_-1/122.778-1;Rocker+Bogie _1_-1/Bogie _1_-1/Fixed Wheel _1_-1/Fixed Knuckle-1;Rocker+Bogie _1_-1/Bogie _1_-1/Fixed Wheel _1_-1/Coupler-1;Rocker+Bogie _1_-1/Bogie _1_-1/Fixed Wheel _1_-1/Bracket-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Rear Corner-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Bracket-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Coupler-1,Origin_Rocker1_Bogie1,Axis8,Rocker1_Bogie1,continuous,0.180999685953205,-0.0619998924263396,0.0226999999994359,0,0,-1.5707963267949,Rocker1,0,0,1,0,0,0,0,,,,,,,,
MidWheel1,-1.00097760736412E-05,-1.7549813208631E-05,-0.0391473582429716,0,0,0,0.121635456546398,0.000257155753097487,4.92178958474824E-09,4.65649359439084E-10,0.00025715474822993,-2.18199010808682E-09,0.00032279802977436,0,0,0,0,0,0,package://new_spirit_mars/meshes/MidWheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/MidWheel1.STL,,Rocker+Bogie _1_-1/Bogie _1_-1/Fixed Wheel _1_-1/Wheel Axle-1;Rocker+Bogie _1_-1/Bogie _1_-1/Fixed Wheel _1_-1/Wheel-1;Rocker+Bogie _1_-1/Bogie _1_-1/Fixed Wheel _1_-1/Wheel Hub-1,Origin_Bogie1_MW1,Axis11,Bogie1_MW1,continuous,0.0869482106774486,-0.103155541790304,0.130899998852721,0,0,0.865693911327975,Bogie1,0,0,1,,,,,,,,,,,,
RearSteering1,-0.00422334190750609,-0.0199529774661564,-0.0790388602924965,0,0,0,0.142145566427233,0.000234346128308017,-1.40951343398391E-05,2.32468332009533E-06,0.000147571755564679,4.87561458509139E-05,0.000131998625605861,0,0,0,0,0,0,package://new_spirit_mars/meshes/RearSteering1.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/RearSteering1.STL,,Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Steering Shaft_1-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Steerable Wheel _1_-1/Steering Knuckle-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Steerable Wheel _1_-1/Bracket-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Steerable Wheel _1_-1/Coupler-1,Origin_Bogie1_RS1,Axis10,Bogie1_RS1,revolute,-0.0257730882832044,0.150552819672626,0.0503310877983017,-1.59518110347134,0.192038010266344,1.51476049572154,Bogie1,0,0,-1,0,0,0,0,,,,,,,,
WheelRS1,3.35987398888959E-06,-9.91969171384999E-06,-0.0391475708881186,0,0,0,0.121634395963816,0.000257161144220671,2.1354818745808E-09,-6.7876992009368E-10,0.000257148215998535,-2.76349276868951E-09,0.000322797785838331,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelRS1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelRS1.STL,,Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Steerable Wheel _1_-1/Wheel Axle-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Steerable Wheel _1_-1/Wheel-1;Rocker+Bogie _1_-1/Bogie _1_-1/Rear Steering _1_-1/Steerable Wheel _1_-1/Wheel Hub-1,Origin_RS1_WHeelRS1,Axis9,RS1_WHeelRS1,continuous,0.0081708,0.049328,-0.13087,1.5708,-1.4045,2.9805,RearSteering1,0,0,-1,,,,,,,,,,,,
FrontSteering1,0.00198903207560586,0.0202978331365523,-0.0790455109517943,0,0,0,0.142148375854442,0.000236376652504394,-4.17060009261255E-06,3.10445945005631E-06,0.000145531559669667,-4.87125877429576E-05,0.000132009378586939,0,0,0,0,0,0,package://new_spirit_mars/meshes/FrontSteering1.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/FrontSteering1.STL,,Rocker+Bogie _1_-1/Front Steering _1_-1/Steerable Wheel _1__1-1/Steering Knuckle-1;Rocker+Bogie _1_-1/Front Steering _1_-1/Steerable Wheel _1__1-1/Bracket-1;Rocker+Bogie _1_-1/Front Steering _1_-1/Steerable Wheel _1__1-1/Coupler-1;Rocker+Bogie _1_-1/Front Steering _1_-1/Steering Shaft-1,Origin_Rocker1_FS1,Axis13,Rocker1_FS1,revolute,-0.211672796800495,-0.0289412092543823,0.0760067485203597,1.56801817837417,-0.126468861634388,-3.14123445081466,Rocker1,0,0,1,0,0,0,0,,,,,,,,
WheelFS1,2.04926562190622E-05,-5.0253471550743E-08,-0.0391469827747634,0,0,0,0.121634363451582,0.000257160590216909,2.53636887261353E-09,-8.84649293601917E-12,0.000257147953642745,-2.8414083982703E-09,0.000322797808936208,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelFS1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelFS1.STL,,Rocker+Bogie _1_-1/Front Steering _1_-1/Steerable Wheel _1__1-1/Wheel Axle-1;Rocker+Bogie _1_-1/Front Steering _1_-1/Steerable Wheel _1__1-1/Wheel-1;Rocker+Bogie _1_-1/Front Steering _1_-1/Steerable Wheel _1__1-1/Wheel Hub-1,Origin_FS1_WheelFS1,Axis12,FS1_WheelFS1,continuous,-0.00253456678339498,-0.0499357397038631,-0.131194605457668,1.57079632679491,-1.33800948212218,-0.049790288634686,FrontSteering1,0,0,1,,,,,,,,,,,,
Rocker2,-0.050032,0.023664,0.036785,0,0,0,0.29452,0.00010834,1.9104E-06,4.7402E-05,0.00035209,-2.0093E-05,0.00038622,0,0,0,0,0,0,package://new_spirit_mars/meshes/Rocker2.STL,1,1,1,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/Rocker2.STL,,MirrorRocker+Bogie _1_-3/MirrorRocker-1;MirrorRocker+Bogie _1_-3/Mirror182.394-1;MirrorRocker+Bogie _1_-3/Mirror161.324-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorBogie-Body-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorFront Corner-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorBracket-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorCoupler-1,Origin_Chassis_Rocker2,Axis14,Chasiss_Rocker2,continuous,0.073,-0.1572,0.0527,-1.5708,0.073342,-3.1416,RoverChassis,0,0,-1,0,0,0,0,,,,,,,,
Bogie2,0.0096552,0.016648,0.060952,0,0,0,0.28916,0.00015652,3.69E-05,-1.7843E-05,0.00022061,-2.3369E-05,0.00020375,0,0,0,0,0,0,package://new_spirit_mars/meshes/Bogie2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/Bogie2.STL,,MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/Mirror117.32-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorRear Corner-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorCoupler-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorBracket-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorFixed Wheel _1_-1/MirrorFixed Knuckle-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorFixed Wheel _1_-1/MirrorCoupler-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorFixed Wheel _1_-1/MirrorBracket-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/Mirror122.778-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorBogie-Wheels-1,Origin_Rocker2_Bogie2,Axis15,Rocker2_Bogie2,continuous,0.180999685955288,0.0619998924230409,0.00270000000285972,0,0,0,Rocker2,0,0,-1,0,0,0,0,,,,,,,,
MidWheel2,2.1358150938313E-05,-1.56490550163452E-05,-0.0386688982970209,0,0,0,0.125822865739578,0.000258026205662039,-2.74904979008728E-09,-1.45058477661596E-09,0.000258013206444936,1.05758605400458E-09,0.000322795683780587,0,0,0,0,0,0,package://new_spirit_mars/meshes/MidWheel2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/MidWheel2.STL,,MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorFixed Wheel _1_-1/MirrorWheel Axle-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorFixed Wheel _1_-1/MirrorWheel-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorFixed Wheel _1_-1/MirrorWheel Hub-1,Origin_Bogie2_MW2,Axis18,Bogie2_MW2,continuous,-0.0939371315502092,0.0973703592993591,0.149400000000058,0,0,-0.302685933437432,Bogie2,0,0,1,,,,,,,,,,,,
RearSteering2,0.0092945588904586,0.0181820861520627,-0.0790354331432768,0,0,0,0.142141326995898,0.000213729236438896,-3.952277731969E-05,-2.88856062629526E-05,0.000168175173433327,-3.93403173720442E-05,0.000131991707849784,0,0,0,0,0,0,package://new_spirit_mars/meshes/RearSteering2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/RearSteering2.STL,,MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorSteering Shaft_1-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorSteerable Wheel _1_-1/MirrorSteering Knuckle-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorSteerable Wheel _1_-1/MirrorBracket-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorSteerable Wheel _1_-1/MirrorCoupler-1,Origin_Bogie2_RS2,Axis16,Bogie2_RS2,revolute,0.14709247763711,-0.0411607389706367,0.070331086997081,1.59902656395361,-0.558724110595196,-0.0668908914708698,Bogie2,0,0,1,0,0,0,0,,,,,,,,
WheelRS2,-5.48896118138242E-06,1.43610157684049E-05,-0.0386689061615327,0,0,0,0.125823228579159,0.000258029063456796,4.31986102568717E-09,-2.24912670829532E-09,0.00025801309264078,8.32756899534465E-10,0.000322796409798318,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelRS2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelRS2.STL,,MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorSteerable Wheel _1_-1/MirrorWheel Axle-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorSteerable Wheel _1_-1/MirrorWheel-1;MirrorRocker+Bogie _1_-3/MirrorBogie _1_-1/MirrorRear Steering _1_-1/MirrorSteerable Wheel _1_-1/MirrorWheel Hub-1,Origin_RS2_WheelRS2,Axis17,RS2_WheelRS2,continuous,-0.024177,-0.04262,-0.13104,1.5708,-1.5023,-0.52001,RearSteering2,0,0,1,,,,,,,,,,,,
FrontSteering2,0.0120385311622508,-0.0164642596401307,-0.0790275004579461,0,0,0,0.14214442284229,0.000209195778059599,4.18029723765835E-05,-2.21170591370971E-05,0.000172702162395656,4.35069516267105E-05,0.000132000981095209,0,0,0,0,0,0,package://new_spirit_mars/meshes/FrontSteering2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/FrontSteering2.STL,,MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorSteering Shaft-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorSteerable Wheel _1__1-1/MirrorSteering Knuckle-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorSteerable Wheel _1__1-1/MirrorCoupler-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorSteerable Wheel _1__1-1/MirrorBracket-1,Origin_Rocker2_FS2,Axis19,Rocker2_FS2,revolute,-0.21167,0.028941,0.076007,-1.5674,-0.62594,3.1396,Rocker2,0,0,1,0,0,0,0,,,,,,,,
WheelsFS2,-2.3871814258114E-05,-1.02232363739518E-05,-0.0386682194061028,0,0,0,0.125823334364886,0.000258028039075968,6.58567022185992E-09,-9.51957485967972E-10,0.000258028748622919,5.17285642417056E-10,0.000322800145224384,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelsFS2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://new_spirit_mars/meshes/WheelsFS2.STL,,MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorSteerable Wheel _1__1-1/MirrorWheel Axle-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorSteerable Wheel _1__1-1/MirrorWheel-1;MirrorRocker+Bogie _1_-3/MirrorFront Steering _1_-1/MirrorSteerable Wheel _1__1-1/MirrorWheel Hub-1,Origin_FS2_WheelsFS2,Axis20,FS2_WheelsFS2,continuous,-0.027711,0.041619,-0.13106,1.5708,0.70491,-2.558,FrontSteering2,0,0,1,,,,,,,,,,,,
